X,Date,Time,Player1,Player2,Sets_P1,Sets_P2,P1_G1,P2_G1,P1_G2,P2_G2,P1_G3,P2_G3,P1_G4,P2_G4,P1_G5,P2_G5,HomeWinner,Series_Type,Is_Exciting,P1_Elo,P2_Elo,Elo_Diff,P1_WinRate,P2_WinRate,WinRate_Diff,P1_Streak,P2_Streak
48,6/10/2022,9:00:00,Tsoi K.,Kunchurov D.,0,3,7,11,7,11,3,11,,,,,0,Sweep,0,1000.0,1000.0,0.0,,,,0,0
49,6/10/2022,9:05:00,Sklyarenko A.,Nadporozhskyi O.,3,1,11,7,13,15,12,10,11.0,6.0,,,1,Secure,0,1000.0,1000.0,0.0,,,,0,0
50,6/10/2022,9:15:00,Hrstka T.,Brozek M.,1,3,13,11,7,11,8,11,7.0,11.0,,,0,Secure,0,1000.0,1000.0,0.0,,,,0,0
51,6/10/2022,9:20:00,Dubrovin V.,Shkepu S.,3,1,11,6,10,12,11,5,11.0,3.0,,,1,Secure,0,1000.0,1000.0,0.0,,,,0,0
52,6/10/2022,9:20:00,Mikus D.,Papirnik O.,3,0,11,9,11,2,13,11,,,,,1,Sweep,0,1000.0,1000.0,0.0,,,,0,0
53,6/10/2022,9:20:00,Slozka M.,Maltsev D.,3,2,7,11,11,9,11,7,9.0,11.0,11.0,5.0,1,Secure,0,988.0,988.0,0.0,0.0,0.0,0.0,0,0
54,6/10/2022,9:25:00,Melnik V.,Horbanenko O.,0,3,7,11,12,14,6,11,,,,,0,Sweep,0,1000.0,1000.0,0.0,,,,0,0
55,6/10/2022,9:25:00,Nakliutskyi A.,Kuzmych V.,3,2,11,6,5,11,11,6,4.0,11.0,11.0,7.0,1,Neck & Neck,1,988.0,988.0,0.0,0.0,0.0,0.0,0,0
57,6/10/2022,9:30:00,Stukalov V.,Ponomarenko O.,3,1,11,7,10,12,12,10,12.0,10.0,,,1,Secure,0,1012.0,1012.0,0.0,1.0,1.0,0.0,1,1
56,6/10/2022,9:30:00,Sedin V.,Tupyk M.,3,2,9,11,7,11,11,3,11.0,4.0,11.0,6.0,1,Comeback,1,976.8,976.4,0.39999999999997726,0.0,0.0,0.0,0,0
58,6/10/2022,9:35:00,Skripnik S.,Mrykh M.,2,3,11,7,6,11,11,8,5.0,11.0,9.0,11.0,0,Secure,0,988.0,988.0,0.0,0.0,0.0,0.0,0,0
59,6/10/2022,9:45:00,Lukes T.,Herink J.,2,3,11,1,8,11,11,6,9.0,11.0,10.0,12.0,0,Secure,0,1000.0,1000.0,0.0,,,,0,0
60,6/10/2022,9:50:00,Cechvala R.,Zachar M.,1,3,7,11,11,5,10,12,9.0,11.0,,,0,Secure,0,1000.0,1000.0,0.0,,,,0,0
61,6/10/2022,9:50:00,Romanenko I.,Lipkan D.,3,1,11,5,11,5,4,11,11.0,8.0,,,1,Secure,0,988.0,988.0,0.0,0.0,0.0,0.0,0,0
62,6/10/2022,9:50:00,Vons V.,Fylypiv R.,3,2,11,2,11,8,9,11,6.0,11.0,12.0,10.0,1,Secure,0,1012.0,1012.0,0.0,1.0,1.0,0.0,1,1
63,6/10/2022,9:55:00,Torba R.,Rak S.,3,1,11,4,11,6,12,14,11.0,9.0,,,1,Secure,0,988.0,1012.0,24.0,0.0,1.0,1.0,0,1
64,6/10/2022,9:55:00,Zemiantsev S.,Baranovskiy S.,1,3,7,11,11,9,5,11,15.0,17.0,,,0,Secure,0,1000.0,1000.0,0.0,,,,0,0
65,6/10/2022,10:00:00,Baday M.,Zaitsev O.,3,1,11,6,8,11,11,3,11.0,8.0,,,1,Secure,0,1023.2,1024.0,0.7999999999999545,1.0,1.0,0.0,2,2
